name,href,tokenized_text
Loki,/title/tt9140554/,mercurial villain loki resume role god mischief new series take place event avengers endgame tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 action adventure fantasy action adventure fantasy action adventure fantasy action adventure fantasy action adventure fantasy action adventure fantasy action adventure fantasy action adventure fantasy action adventure fantasy action adventure fantasy steal tesseract event avengers endgame alternate version loki bring mysterious time variance authority bureaucratic organization exist outside time space monitor timeline give loki choice face erase existence due time variant help fix timeline stop great threat loki time come superhero secret organization base comic spin marvel cinematic universe mcu alternate timeline multiverse antihero superhero secret organization base comic spin marvel cinematic universe mcu alternate timeline multiverse antihero superhero secret organization base comic spin marvel cinematic universe mcu alternate timeline multiverse antihero superhero secret organization base comic spin marvel cinematic universe mcu alternate timeline multiverse antihero superhero secret organization base comic spin marvel cinematic universe mcu alternate timeline multiverse antihero superhero secret organization base comic spin marvel cinematic universe mcu alternate timeline multiverse antihero superhero secret organization base comic spin marvel cinematic universe mcu alternate timeline multiverse antihero superhero secret organization base comic spin marvel cinematic universe mcu alternate timeline multiverse antihero superhero secret organization base comic spin marvel cinematic universe mcu alternate timeline multiverse antihero superhero secret organization base comic spin marvel cinematic universe mcu alternate timeline multiverse antihero
Avatar: The Last Airbender,/title/tt0417299/,war torn world elemental magic young boy reawaken undertake dangerous mystic quest fulfill destiny avatar bring peace world tv y7 fv tv y7 fv tv y7 fv tv y7 fv tv y7 fv tv y7 fv tv y7 fv tv y7 fv tv y7 fv tv y7 fv animation action adventure animation action adventure animation action adventure animation action adventure animation action adventure animation action adventure animation action adventure animation action adventure animation action adventure animation action adventure war torn world elemental magic young boy reawaken undertake dangerous mystic quest fulfill destiny avatar bring peace world water earth fire air friendship martial arts save world magic monk asia child hero reincarnation honor destiny friendship martial arts save world magic monk asia child hero reincarnation honor destiny friendship martial arts save world magic monk asia child hero reincarnation honor destiny friendship martial arts save world magic monk asia child hero reincarnation honor destiny friendship martial arts save world magic monk asia child hero reincarnation honor destiny friendship martial arts save world magic monk asia child hero reincarnation honor destiny friendship martial arts save world magic monk asia child hero reincarnation honor destiny friendship martial arts save world magic monk asia child hero reincarnation honor destiny friendship martial arts save world magic monk asia child hero reincarnation honor destiny friendship martial arts save world magic monk asia child hero reincarnation honor destiny
The Lord of the Rings: The Rings of Power,/title/tt7631058/,epic drama set thousand year event j r r tolkien hobbit lord rings follow ensemble cast characters familiar new confront long feared emergence evil middle earth tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama beginning time relative peace follow ensemble cast character confront emergence evil middle earth dark depth misty mountains majestic forest lindon breathtaking island kingdom nmenor furthest reach map kingdom character carve legacy live long gone journey middle earth base novel book base movie high fantasy sword sorcery base novel book base movie high fantasy sword sorcery base novel book base movie high fantasy sword sorcery base novel book base movie high fantasy sword sorcery base novel book base movie high fantasy sword sorcery base novel book base movie high fantasy sword sorcery base novel book base movie high fantasy sword sorcery base novel book base movie high fantasy sword sorcery base novel book base movie high fantasy sword sorcery base novel book base movie high fantasy sword sorcery
House of the Dragon,/title/tt11198330/,internal succession war within house targaryen height power 172 year birth daenerys targaryen tv tv tv tv tv tv tv tv tv tv action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama targaryen dynasty absolute apex power 15 dragon yoke empire crumble heights case targaryens slow fall begin king viserys break century tradition name daughter rhaenyra heir iron throne viserys later father son court shock rhaenyra retain status heir seed division sow friction across realm fire blood base novel book giant monster knight dragon king fantasy world base novel book giant monster knight dragon king fantasy world base novel book giant monster knight dragon king fantasy world base novel book giant monster knight dragon king fantasy world base novel book giant monster knight dragon king fantasy world base novel book giant monster knight dragon king fantasy world base novel book giant monster knight dragon king fantasy world base novel book giant monster knight dragon king fantasy world base novel book giant monster knight dragon king fantasy world base novel book giant monster knight dragon king fantasy world
The Umbrella Academy,/title/tt1312171/,family former child heroes grown apart must reunite continue protect world tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 action adventure comedy action adventure comedy action adventure comedy action adventure comedy action adventure comedy action adventure comedy action adventure comedy action adventure comedy action adventure comedy action adventure comedy dysfunctional family superheroes come together solve mystery father death threat apocalypse many siblings enough timeline superhero time travel dysfunctional family base comic alternate history apocalypse universe super power end world siblings children superhero time travel dysfunctional family base comic alternate history apocalypse universe super power end world siblings children superhero time travel dysfunctional family base comic alternate history apocalypse universe super power end world siblings children superhero time travel dysfunctional family base comic alternate history apocalypse universe super power end world siblings children superhero time travel dysfunctional family base comic alternate history apocalypse universe super power end world siblings children superhero time travel dysfunctional family base comic alternate history apocalypse universe super power end world siblings children superhero time travel dysfunctional family base comic alternate history apocalypse universe super power end world siblings children superhero time travel dysfunctional family base comic alternate history apocalypse universe super power end world siblings children superhero time travel dysfunctional family base comic alternate history apocalypse universe super power end world siblings children superhero time travel dysfunctional family base comic alternate history apocalypse universe super power end world siblings children
Spartacus,/title/tt1442449/,life spartacus gladiator lead rebellion romans time ally romans betrayal become gladiator rebellion lead ultimate outcome tv tv tv tv tv tv tv tv tv tv action adventure biography action adventure biography action adventure biography action adventure biography action adventure biography action adventure biography action adventure biography action adventure biography action adventure biography action adventure biography torn homeland woman loves spartacus condemn brutal world arena blood death primetime entertainment gladiator arena ancient rome slave peplum gladiator arena ancient rome slave peplum gladiator arena ancient rome slave peplum gladiator arena ancient rome slave peplum gladiator arena ancient rome slave peplum gladiator arena ancient rome slave peplum gladiator arena ancient rome slave peplum gladiator arena ancient rome slave peplum gladiator arena ancient rome slave peplum gladiator arena ancient rome slave peplum
The Punisher,/title/tt5675620/,revenge murder family aimless marine veteran frank castle find new meaning life vigilante know punisher tv tv tv tv tv tv tv tv tv tv action crime drama action crime drama action crime drama action crime drama action crime drama action crime drama action crime drama action crime drama action crime drama action crime drama former marine punish criminal responsible family murder find ensnare military conspiracy truth must taken gun anti hero base comic vigilante justice marvel cinematic universe mcu gun anti hero base comic vigilante justice marvel cinematic universe mcu gun anti hero base comic vigilante justice marvel cinematic universe mcu gun anti hero base comic vigilante justice marvel cinematic universe mcu gun anti hero base comic vigilante justice marvel cinematic universe mcu gun anti hero base comic vigilante justice marvel cinematic universe mcu gun anti hero base comic vigilante justice marvel cinematic universe mcu gun anti hero base comic vigilante justice marvel cinematic universe mcu gun anti hero base comic vigilante justice marvel cinematic universe mcu gun anti hero base comic vigilante justice marvel cinematic universe mcu
Moon Knight,/title/tt10234724/,steven grant discovers grant power egyptian moon god soon find newfound power blessing curse troubled life tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 action adventure fantasy action adventure fantasy action adventure fantasy action adventure fantasy action adventure fantasy action adventure fantasy action adventure fantasy action adventure fantasy action adventure fantasy action adventure fantasy steven grant mild mannered gift shop employee become plague blackout memory another life discover dissociative identity disorder share body mercenary marc spector steven marcs enemies converge upon must navigate complex identity thrust deadly mystery among powerful god egypt embrace chaos superhero base comic miniseries gods egyptian mythology marvel cinematic universe mcu dissociative identity disorder superhero base comic miniseries gods egyptian mythology marvel cinematic universe mcu dissociative identity disorder superhero base comic miniseries gods egyptian mythology marvel cinematic universe mcu dissociative identity disorder superhero base comic miniseries gods egyptian mythology marvel cinematic universe mcu dissociative identity disorder superhero base comic miniseries gods egyptian mythology marvel cinematic universe mcu dissociative identity disorder superhero base comic miniseries gods egyptian mythology marvel cinematic universe mcu dissociative identity disorder superhero base comic miniseries gods egyptian mythology marvel cinematic universe mcu dissociative identity disorder superhero base comic miniseries gods egyptian mythology marvel cinematic universe mcu dissociative identity disorder superhero base comic miniseries gods egyptian mythology marvel cinematic universe mcu dissociative identity disorder superhero base comic miniseries gods egyptian mythology marvel cinematic universe mcu dissociative identity disorder
Gotham,/title/tt3749900/,story behind detective james gordon rise prominence gotham city year batman arrival tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 action crime drama action crime drama action crime drama action crime drama action crime drama action crime drama action crime drama action crime drama action crime drama action crime drama everyone know name commissioner gordon one crime world great foes man whose reputation synonymous law order know gordon story rise rookie detective police commissioner take navigate multiple layer corruption secretly rule gotham city spawn ground world iconic villains circumstance create larger life persona would become catwoman penguin riddler two face joker batman gotham insane asylum base comic super power super villain origin story insane asylum base comic super power super villain origin story insane asylum base comic super power super villain origin story insane asylum base comic super power super villain origin story insane asylum base comic super power super villain origin story insane asylum base comic super power super villain origin story insane asylum base comic super power super villain origin story insane asylum base comic super power super villain origin story insane asylum base comic super power super villain origin story insane asylum base comic super power super villain origin story
The Falcon and the Winter Soldier,/title/tt9208876/,following event avengers endgame sam wilson falcon bucky barnes winter soldier team global adventure test ability patience tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama following event avengers endgame falcon sam wilson winter soldier bucky barnes team global adventure test abilities patience honor shield superhero base comic miniseries spin marvel cinematic universe mcu superhero base comic miniseries spin marvel cinematic universe mcu superhero base comic miniseries spin marvel cinematic universe mcu superhero base comic miniseries spin marvel cinematic universe mcu superhero base comic miniseries spin marvel cinematic universe mcu superhero base comic miniseries spin marvel cinematic universe mcu superhero base comic miniseries spin marvel cinematic universe mcu superhero base comic miniseries spin marvel cinematic universe mcu superhero base comic miniseries spin marvel cinematic universe mcu superhero base comic miniseries spin marvel cinematic universe mcu
Arcane,/title/tt11126994/,set utopian piltover oppressed underground zaun story follow origin two iconic league legends champion power tear apart tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 animation action adventure animation action adventure animation action adventure animation action adventure animation action adventure animation action adventure animation action adventure animation action adventure animation action adventure animation action adventure amid stark discord twin city piltover zaun two sister fight rival side war magic technology clash convictions magic battle base video game lgbt adult animation warrior origin power magic battle base video game lgbt adult animation warrior origin power magic battle base video game lgbt adult animation warrior origin power magic battle base video game lgbt adult animation warrior origin power magic battle base video game lgbt adult animation warrior origin power magic battle base video game lgbt adult animation warrior origin power magic battle base video game lgbt adult animation warrior origin power magic battle base video game lgbt adult animation warrior origin power magic battle base video game lgbt adult animation warrior origin power magic battle base video game lgbt adult animation warrior origin power
Agents of S.H.I.E.L.D.,/title/tt2364582/,mission strategic homeland intervention enforcement logistics division tv pg tv pg tv pg tv pg tv pg tv pg tv pg tv pg tv pg tv pg action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama action adventure drama agent phil coulson h e l strategic homeland intervention enforcement logistics division put together team agent investigate new strange unknown around globe protect ordinary extraordinary hero super superhero base comic secret government organization marvel cinematic universe mcu superhero base comic secret government organization marvel cinematic universe mcu superhero base comic secret government organization marvel cinematic universe mcu superhero base comic secret government organization marvel cinematic universe mcu superhero base comic secret government organization marvel cinematic universe mcu superhero base comic secret government organization marvel cinematic universe mcu superhero base comic secret government organization marvel cinematic universe mcu superhero base comic secret government organization marvel cinematic universe mcu superhero base comic secret government organization marvel cinematic universe mcu superhero base comic secret government organization marvel cinematic universe mcu
Jessica Jones,/title/tt2357547/,following tragic end brief superhero career jessica jones try rebuild life private investigator deal case involve people remarkable ability new york city tv tv tv tv tv tv tv tv tv tv action crime drama action crime drama action crime drama action crime drama action crime drama action crime drama action crime drama action crime drama action crime drama action crime drama tragic end short lived super hero stint jessica jones rebuild personal life career detective get pull case involve people extraordinary ability new york city power save mind control superhero base comic female protagonist super power private detective marvel cinematic universe mcu mask superhero neo noir mind control superhero base comic female protagonist super power private detective marvel cinematic universe mcu mask superhero neo noir mind control superhero base comic female protagonist super power private detective marvel cinematic universe mcu mask superhero neo noir mind control superhero base comic female protagonist super power private detective marvel cinematic universe mcu mask superhero neo noir mind control superhero base comic female protagonist super power private detective marvel cinematic universe mcu mask superhero neo noir mind control superhero base comic female protagonist super power private detective marvel cinematic universe mcu mask superhero neo noir mind control superhero base comic female protagonist super power private detective marvel cinematic universe mcu mask superhero neo noir mind control superhero base comic female protagonist super power private detective marvel cinematic universe mcu mask superhero neo noir mind control superhero base comic female protagonist super power private detective marvel cinematic universe mcu mask superhero neo noir mind control superhero base comic female protagonist super power private detective marvel cinematic universe mcu mask superhero neo noir
Obi-Wan Kenobi,/title/tt8466564/,jedi master obi wan kenobi save young leia kidnapped pursue imperial inquisitors former padawan know darth vader tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 tv 14 action adventure sci fi action adventure sci fi action adventure sci fi action adventure sci fi action adventure sci fi action adventure sci fi action adventure sci fi action adventure sci fi action adventure sci fi action adventure sci fi reign galactic empire former jedi master obi wan kenobi embark crucial mission confront ally turn enemy face wrath empire darkness defeat hope survives childhood trauma run miniseries child kidnapping reluctant hero childhood trauma run miniseries child kidnapping reluctant hero childhood trauma run miniseries child kidnapping reluctant hero childhood trauma run miniseries child kidnapping reluctant hero childhood trauma run miniseries child kidnapping reluctant hero childhood trauma run miniseries child kidnapping reluctant hero childhood trauma run miniseries child kidnapping reluctant hero childhood trauma run miniseries child kidnapping reluctant hero childhood trauma run miniseries child kidnapping reluctant hero childhood trauma run miniseries child kidnapping reluctant hero
